GeneID	control	control	control	perturbed	perturbed	perturbed
55173	14195	14879	18027	13370	14054	10545
2978	4	1	0	0	0	0
51773	4641	2856	5702	12333	12346	9106
55187	2796	1562	3653	5430	4701	4028
10659	1044	580	1286	379	317	244
23196	18982	14231	26044	21983	23991	18317
23518	4244	3016	5426	4885	5430	3692
1298	610	1097	996	402	393	425
4254	2841	1160	3597	1117	1097	743
1161	1136	992	1422	2219	2209	1649
11174	522	250	665	10356	12272	8687
9563	8303	7794	11037	21337	20793	17295
9341	11597	12996	14354	11824	12298	8872
8863	2333	1546	3127	1366	1362	1128
10911	1	4	0	0	0	0
3604	929	742	1222	253	222	158
55040	125	159	204	1	4	1
4052	2231	1404	2765	13639	13844	10878
5954	32404	38912	40791	37389	39657	28161
2006	0	0	2	2	5	0
5982	5085	7939	6431	4613	4892	3665
57492	1853	1169	2560	4267	4402	3500
81037	10532	15521	15125	12380	13243	11612
23327	11984	9965	15581	7194	7209	5057
50943	1	7	6	4	17	14
89801	634	1385	1007	1174	1135	1048
3074	11956	14301	14857	41337	40003	30593
79810	499	443	608	1143	1239	860
340533	3	4	11	37	45	30
51528	6733	6193	8328	7051	7013	5355
27122	103	108	116	133	135	103
7984	1149	1252	1524	1218	1329	1069
9603	14169	13104	17524	7445	7396	5500
63933	7338	5608	9088	6841	6959	4800
51474	10419	7939	13158	8068	8540	5809
25875	1922	2030	2335	3407	3347	2765
9498	31	14	36	443	471	305
10319	0	3	0	3	0	0
5733	3	2	1	14	22	12
79931	186	111	257	2732	3136	2081
5601	7238	6784	8824	7873	8050	5795
91522	1	0	0	2	1	0
9564	2111	4253	4187	3473	3653	4583
84067	1680	1910	2573	2202	2535	2249
9709	3166	3439	4005	6937	7254	5516
9454	1124	2509	1998	1887	2112	2162
5888	1534	2269	1924	1657	1850	1387
10721	1313	807	1728	2021	2114	1526
5291	3616	2534	4720	4849	4910	3458
1535	1878	5615	3894	5441	5758	7575
84321	2035	2686	2476	1990	2260	1840
23593	3361	5215	4097	5282	5552	4381
10198	3177	1837	4218	4951	5643	3972
54477	2919	1862	3827	7680	7747	5708
5652	29	114	65	4	4	9
80143	3057	2082	3913	6277	6925	4894
23223	1858	2713	2789	2963	3315	2624
57600	1110	481	1360	3203	3225	2401
6307	3760	3331	4453	4888	5545	4101
55761	6273	4520	8369	11013	11191	8247
60529	12	21	25	1	3	0
23105	2	1	2	1	0	4
1112	7473	4608	9875	8866	8667	6394
728464	0	0	0	3	1	0
8574	3695	6783	5207	4476	4499	3865
51154	5159	8351	6597	5025	5399	3904
4826	0	0	0	0	0	0
55850	567	1327	862	808	763	751
23101	16	11	24	66	82	75
83714	0	0	0	0	0	0
3909	9305	5527	12164	1032	855	746
55745	2917	2021	3776	5295	5985	4129
29945	1733	1821	2360	4002	4258	3135
3784	42	78	64	2	1	2
27095	4863	7275	6166	5328	5685	4494
9967	12321	10204	16448	17855	19773	14118
29085	5113	11557	8365	4622	4896	5096
954	2	11	3	0	0	0
4065	914	415	1088	1675	1619	1288
51742	6024	5448	7585	9759	10051	7485
23596	991	1047	1238	709	694	560
10806	955	994	1100	15932	17347	12518
5798	0	5	2	1	2	9
55733	341	317	440	769	825	646
23095	5814	3233	7020	7902	7709	5841
2296	827	800	1206	1062	1084	769
25771	1560	2550	2275	3026	2958	2844
23224	3565	1817	4561	4969	3902	3810
57475	717	458	1015	897	969	777
10079	974	598	1276	1905	1705	1403
23626	0	0	0	0	0	0
140689	0	0	0	0	0	0
25884	4	16	15	9	21	13
23201	7734	5830	9981	14878	15124	11542
84957	865	1357	1433	3205	3552	3373
2581	3179	2210	3725	4718	4554	3160
