GeneID	perturbed	perturbed	perturbed	control	control
26262	8093	7607	6549	4946	5472
51491	4192	3861	3789	4500	4509
57545	1355	1207	1133	1273	1242
50484	5151	4850	5385	6832	8039
168850	190	215	288	544	488
608	0	2	0	0	0
92017	981	919	1082	1132	1057
55885	239	192	399	377	642
55173	3751	3392	3102	3581	3738
2978	1837	1746	1131	573	727
51773	3545	3175	4757	7767	8267
55187	4130	3730	6354	5807	7506
10659	3323	2878	3812	4346	4231
23196	4504	4196	7405	8227	8597
23518	5282	4828	6608	7846	8880
1298	272	267	207	222	229
4254	814	739	664	1275	976
1161	1688	1610	1567	1745	1944
11174	61	64	54	59	51
9563	2364	2255	2340	1274	2001
9341	3288	3053	4308	3880	4272
8863	601	593	449	448	696
10911	4	10	3	2	10
3604	1	3	18	7	2
55040	253	223	315	194	205
4052	2769	2667	4436	3579	4365
5954	8473	8138	8991	11197	10546
2006	529	480	523	333	420
5982	8378	7660	7019	6440	6631
57492	6460	6048	7368	8012	8742
81037	11541	10783	9673	8986	9323
23327	7383	6695	8324	9555	8903
50943	43	34	23	27	31
89801	447	370	348	312	255
3074	4681	4268	4810	4520	4728
79810	1243	1223	1540	1910	1994
340533	56	44	63	79	112
51528	3074	2747	2222	3037	2957
27122	1357	1227	2199	1390	1619
7984	1709	1513	1139	1036	1028
9603	10475	9949	8027	6204	7370
63933	4072	3915	3946	3941	3891
51474	4074	3832	5199	6354	6461
25875	2626	2412	2178	2310	2594
9498	1229	1101	832	706	950
10319	2001	1895	2323	1861	2117
5733	47	27	21	34	30
79931	2	4	4	7	0
5601	3760	3507	4487	4725	4931
91522	1005	982	886	449	482
9564	11982	11616	10863	10084	10074
84067	2279	2129	2055	1824	1940
9709	1313	1171	1367	1234	1224
9454	1642	1532	1451	1451	1138
5888	2744	2484	2673	2679	2762
10721	1368	1340	2754	3620	4342
5291	2500	2374	3358	3237	4080
1535	8127	7620	6773	4361	5326
84321	3006	2913	2080	1969	1950
23593	4104	3670	3355	3253	3219
10198	1943	1781	1486	2197	2444
54477	4868	4395	5262	6057	6854
5652	6002	5384	7400	5449	6015
80143	2593	2397	2996	4934	5401
23223	8496	7650	7218	8200	8432
57600	915	763	873	1020	1106
6307	10529	9781	12101	13363	17522
55761	3720	3313	4498	6020	5314
60529	0	5	5	1	4
23105	520	471	419	336	377
1112	6598	6021	12483	12202	15381
728464	31	25	21	54	30
8574	3764	3338	3008	2488	2755
51154	8664	8071	7375	8088	6951
4826	3385	3099	727	283	343
55850	483	502	493	458	464
23101	155	182	226	193	314
83714	78	79	126	139	184
3909	204	162	167	168	205
55745	2772	2599	2488	4336	3931
29945	2464	2233	2209	3299	3047
3784	191	198	183	110	167
27095	3982	3831	3418	3587	3684
9967	25735	24599	25954	27298	28393
29085	3130	3033	2291	1762	1555
954	149	171	224	318	257
4065	408	359	365	589	571
51742	1428	1298	1804	2975	2765
23596	217	207	291	167	293
10806	389	363	390	509	444
5798	552	538	829	764	563
55733	60	43	41	35	18
23095	10932	10261	15134	12847	17574
2296	18	9	27	12	13
25771	2012	1758	1777	1661	1557
23224	4348	3904	7783	8446	11072
57475	2676	2565	3172	3087	3069
10079	1328	1210	1545	1158	1164
23626	0	0	0	0	0
140689	0	0	0	4	1
25884	37	45	23	14	28
23201	3502	3231	3151	2499	3101
84957	520	509	506	536	492
2581	1248	1098	1142	1087	1259
51602	7392	6742	5299	9941	8708
26099	10666	10297	7993	8140	8062
3757	906	832	951	462	788
8454	11212	10058	11866	12570	12427
10827	813	819	888	1159	1260
26999	10179	9302	9231	7733	7723
23118	5521	5147	6676	7842	8245
116254	1049	942	1211	1291	1254
5610	5012	4572	7348	8571	9162
57602	5275	4908	5788	7023	6494
58508	1886	1722	4149	4535	5525
55283	83	72	161	266	193
114800	21	18	15	11	12
23369	8668	7915	9994	12479	14682
84545	4882	4397	3739	3268	3439
3700	66	54	48	43	54
3697	0	0	0	0	0
54969	1762	1674	1532	1904	2077
51663	10945	10224	10645	12433	13251
55609	1322	1175	858	1118	1333
10886	972	862	661	717	288
112885	1120	995	1453	1316	2077
7185	238	228	240	216	263
54542	3654	3205	3998	5891	5868
55540	525	413	398	469	548
10758	2277	2052	1750	1437	1952
8908	11240	9981	9883	9279	9254
131566	3843	3507	6403	7844	7724
6317	14	10	0	27	7
6646	401	317	301	299	354
5318	2083	1942	2532	3929	3594
4438	11	5	2	5	2
2155	120	87	17	9	29
2665	48066	43316	37418	35738	40222
639	312	269	229	116	43
9474	3684	3376	2886	3552	3683
57458	175	174	259	252	285
57095	6423	5887	4805	5562	5029
57504	12409	11466	10904	10098	11075
8975	3375	3175	3885	4087	4244
23200	1985	1767	2726	3338	4022
3918	1430	1306	2031	2687	1930
5218	3295	3221	3340	2816	3377
29927	25253	23024	22739	22545	20356
4659	5007	4626	6112	8849	9599
5923	39	54	40	8	25
816	21	10	3	3	7
9696	3926	3755	3689	3952	4364
55718	7170	6936	6998	6431	7351
493	2506	2461	3237	2493	3490
9877	12	14	25	37	45
